POI_ID;ADDRESS;"﻿""DESCRIPTION""";NAME;GeoJSON;geo_point_2d
1477;1401 2 HWY;Cemetery;MILTON CEMETERY;"{""type"": ""Point"", ""coordinates"": [-76.39666601281232, 44.25026059788024]}";44.2502605979,-76.3966660128
1675;30 FIFTH FIELD COMPANY LN;Queen's University;CLARK HALL;"{""type"": ""Point"", ""coordinates"": [-76.49376426049609, 44.22677765086982]}";44.2267776509,-76.4937642605
894;195 UNION ST;Place of Worship;UNION STREET GOSPEL CHAPEL;"{""type"": ""Point"", ""coordinates"": [-76.50111818676042, 44.227231275892976]}";44.2272312759,-76.5011181868
1704;45 FIFTH FIELD COMPANY LN;Queen's University;MILLER HALL - BRUCE WING;"{""type"": ""Point"", ""coordinates"": [-76.49314276107955, 44.22708607126963]}";44.2270860713,-76.4931427611
1910;18 QUEEN ST;Parking Lot;KING/QUEEN LOT;"{""type"": ""Point"", ""coordinates"": [-76.47960769417985, 44.23178776407096]}";44.2317877641,-76.4796076942
3535;KING ST W;Queen's University;EMERGENCY;"{""type"": ""Point"", ""coordinates"": [-76.49292280007953, 44.22337566100149]}";44.223375661,-76.4929228001
2815;55 STUART ST;Quenn's U Historic Building;AGNES BENIDICKSON HOUSE;"{""type"": ""Point"", ""coordinates"": [-76.4922241247286, 44.226056649687166]}";44.2260566497,-76.4922241247
1021;64 DRENNAN ST;Park;STARR REID PARK;"{""type"": ""Point"", ""coordinates"": [-76.48401354100766, 44.26055487028351]}";44.2605548703,-76.484013541
1022;36 ELMWOOD ST;Park;ELMWOOD STREET EAST PARK;"{""type"": ""Point"", ""coordinates"": [-76.52147481018474, 44.24142752835284]}";44.2414275284,-76.5214748102
1024;2 NORTH ST;Park;DOUGLAS R. FLUHRER PARK;"{""type"": ""Point"", ""coordinates"": [-76.48029519312051, 44.23753218115391]}";44.2375321812,-76.4802951931
1028;900 HENDERSON BLVD;Park;JIM BEATTIE PARK;"{""type"": ""Point"", ""coordinates"": [-76.58253101611616, 44.228124923666826]}";44.2281249237,-76.5825310161
2144;5307 HWY 15;Cemetery;ST. BARNABY'S ROMAN CATHOLIC CEMETERY;"{""type"": ""Point"", ""coordinates"": [-76.30431103803757, 44.4162174923369]}";44.4162174923,-76.304311038
236;455 ST. MARTHA ST;Playground;ST. MARTHA ELEMENTARY SCHOOL PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.44747225276264, 44.26475490582578]}";44.2647549058,-76.4474722528
2190;3766 HWY 15;Baseball Field;PITTSBURGH/JOYCEVILLE INSTITUTE BASEBALL FIELD 2;"{""type"": ""Point"", ""coordinates"": [-76.35035461535222, 44.359595162696344]}";44.3595951627,-76.3503546154
2203;1990 FRONT RD;Baseball Field;LEMOINE POINT BASEBALL FIELD;"{""type"": ""Point"", ""coordinates"": [-76.61083878491682, 44.2331706962617]}";44.2331706963,-76.6108387849
848;216 ONTARIO ST;Municipal Government Facility;KINGSTON CITY HALL;"{""type"": ""Point"", ""coordinates"": [-76.48037108194615, 44.22985171691512]}";44.2298517169,-76.4803710819
2468;487 BROCK ST;Splash Pad;VICTORIA PARK SPLASH PAD;"{""type"": ""Point"", ""coordinates"": [-76.49881947019213, 44.233642242011236]}";44.233642242,-76.4988194702
1747;189 SYDENHAM ST;Gallery;H'ART STUDIO;"{""type"": ""Point"", ""coordinates"": [-76.48688798719533, 44.23293082317831]}";44.2329308232,-76.4868879872
2410;12 SICILY DR;Marina;CFB YACHT CLUB;"{""type"": ""Point"", ""coordinates"": [-76.4513584635367, 44.23363537318193]}";44.2336353732,-76.4513584635
3981;;Cell Antenna;290 BATH RD CELL ANTENNA;"{""type"": ""Point"", ""coordinates"": [-76.52569416913637, 44.23925220544347]}";44.2392522054,-76.5256941691
2811;NAVY WY;Athletic Centre;RMC SOCCER DOME;"{""type"": ""Point"", ""coordinates"": [-76.46566331118939, 44.237912156362384]}";44.2379121564,-76.4656633112
904;130 LAKEVIEW AVE;Place of Worship;ST. THOMAS ANGLICAN CHURCH;"{""type"": ""Point"", ""coordinates"": [-76.57141198230981, 44.21929401538264]}";44.2192940154,-76.5714119823
790;1789 BATH RD;Education Facility;FRONTENAC SECONDARY SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.57643849953028, 44.23715519355177]}";44.2371551936,-76.5764384995
792;72 GILMOUR AV;Education Facility;ECOLE ELEMENTAIRE PUBLIQUE MADELEINE DE ROYBON;"{""type"": ""Point"", ""coordinates"": [-76.5259004198496, 44.24221363043785]}";44.2422136304,-76.5259004198
795;2100 UNITY RD;Education Facility;ELGINBURG PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.54010815817387, 44.3193612624572]}";44.3193612625,-76.5401081582
776;5 GENERAL CRERAR CRES;Education Facility;ROYAL MILITARY COLLEGE OF CANADA;"{""type"": ""Point"", ""coordinates"": [-76.4679512169497, 44.23084801171089]}";44.2308480117,-76.4679512169
3233;2754 CREEKFORD RD;;CREEKFORD WATER TOWER;"{""type"": ""Point"", ""coordinates"": [-76.57751548142942, 44.27977138805247]}";44.2797713881,-76.5775154814
3234;1000 INNOVATION DR;;KINGSTON EAST WATER TOWER;"{""type"": ""Point"", ""coordinates"": [-76.43675533619985, 44.274548449155475]}";44.2745484492,-76.4367553362
3561;;RMC;FORT BRANT DORMITORY;"{""type"": ""Point"", ""coordinates"": [-76.4691211077813, 44.23130369972278]}";44.2313036997,-76.4691211078
3205;20 AMIENS AV;RMC;FORT LASALLE DORMITORY;"{""type"": ""Point"", ""coordinates"": [-76.46892088031632, 44.22992494809123]}";44.2299249481,-76.4689208803
3566;9 POINT FREDERICK DR;RMC;SENIOR STAFF MESS;"{""type"": ""Point"", ""coordinates"": [-76.46720443754116, 44.228322974430206]}";44.2283229744,-76.4672044375
3984;544 GARDINERS RD;Cell Antenna;544 GARDINERS RD CELL ANTENNA;"{""type"": ""Point"", ""coordinates"": [-76.56515150866632, 44.2395797137937]}";44.2395797138,-76.5651515087
3990;1020 PEMBRIDGE CR;Cell Antenna;1020 PEMBRIDGE CR CELL ANTENNA;"{""type"": ""Point"", ""coordinates"": [-76.5856273939682, 44.25133131517625]}";44.2513313152,-76.585627394
3567;15 POINT FREDERICK DR;RMC;OLD GYMNASIUM;"{""type"": ""Point"", ""coordinates"": [-76.46680451977213, 44.228941242326364]}";44.2289412423,-76.4668045198
1735;334 PRINCESS ST;Gallery;GALLERY RAYMOND;"{""type"": ""Point"", ""coordinates"": [-76.48982982555091, 44.2325504188495]}";44.2325504188,-76.4898298256
1160;731 MONTREAL ST;Park;BELLE PARK;"{""type"": ""Point"", ""coordinates"": [-76.4819239252999, 44.251366809108134]}";44.2513668091,-76.4819239253
3218;1106 LEN BIRCHALL WY;;NAVCAN FLIGHT TOWER;"{""type"": ""Point"", ""coordinates"": [-76.59646093303962, 44.21934540782472]}";44.2193454078,-76.596460933
3225;56 FRANCIS ST;;KINGSTON SENIORS ASSOCIATION CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.52231590391224, 44.22421335760316]}";44.2242133576,-76.5223159039
3628;130 DAYS RD;Curling Centre;KINGSTON CURLING CLUB;"{""type"": ""Point"", ""coordinates"": [-76.56850773087156, 44.22037128190798]}";44.2203712819,-76.5685077309
3648;559 BAGOT ST;Basketball Court;BOYS AND GIRLS CLUB BASKETBALL COURT;"{""type"": ""Point"", ""coordinates"": [-76.48407636788696, 44.23949154109682]}";44.2394915411,-76.4840763679
3649;559 BAGOT ST;Playground;BOYS AND GIRLS CLUB PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.48423615284743, 44.23945453379734]}";44.2394545338,-76.4842361528
3668;1180 WOODBINE RD;;WOODBINE PARK SPLASH PAD;"{""type"": ""Point"", ""coordinates"": [-76.60268831506448, 44.2586154609792]}";44.258615461,-76.6026883151
4449;;Tennis Court;INVISTA TENNIS COURT;"{""type"": ""Point"", ""coordinates"": [-76.5488519026024, 44.2114284489822]}";44.211428449,-76.5488519026
1599;45 NAPIER ST;Tennis Court;KINGSTON TENNIS CLUB;"{""type"": ""Point"", ""coordinates"": [-76.5058762584579, 44.22832759135507]}";44.2283275914,-76.5058762585
1602;53 FOURTH AVE;Tennis Court;KIWANIS PARK TENNIS COURT;"{""type"": ""Point"", ""coordinates"": [-76.50090294127538, 44.24567537012981]}";44.2456753701,-76.5009029413
3756;506 CONSERVATORY DR;Playground;CONSERVATORY POND PARK PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.58922661003204, 44.235252877139686]}";44.2352528771,-76.58922661
786;85 MACCAULEY ST;Library;RIDEAU HEIGHTS LIBRARY;"{""type"": ""Point"", ""coordinates"": [-76.48316500988226, 44.265164196175334]}";44.2651641962,-76.4831650099
1611;60 UNION ST;Tennis Court;QUEEN'S UNIVERSITY - MAIN CAMPUS TENNIS COURT;"{""type"": ""Point"", ""coordinates"": [-76.4937532820884, 44.2250764979159]}";44.2250764979,-76.4937532821
1613;21 CARLISLE ST;Tennis Court;FRIENDSHIP PARK TENNIS COURT;"{""type"": ""Point"", ""coordinates"": [-76.49114966130837, 44.23718080950465]}";44.2371808095,-76.4911496613
4648;120 NORMAN ROGERS DR;Baseball Field;CENTENNIAL PUBLIC SCHOOL BASEBALL FIELD;"{""type"": ""Point"", ""coordinates"": [-76.51865607859762, 44.2309244534508]}";44.2309244535,-76.5186560786
1622;70 CRAFTSMAN BLVD;Tennis Court;CANADIAN FORCES BASE KINGSTON TENNIS COURT;"{""type"": ""Point"", ""coordinates"": [-76.45883327231664, 44.24360082570796]}";44.2436008257,-76.4588332723
1631;755 BAYRIDGE DR;Tennis Court;BAYRIDGE PARK TENNIS COURT;"{""type"": ""Point"", ""coordinates"": [-76.59116031498165, 44.248606427453716]}";44.2486064275,-76.591160315
1641;535 UNION ST;Tennis Court;QUEEN'S UNIVERSITY - WEST CAMPUS TENNIS COURT;"{""type"": ""Point"", ""coordinates"": [-76.51509286662129, 44.227157164250535]}";44.2271571643,-76.5150928666
1644;487 BROCK ST;Tennis Court;VICTORIA PARK TENNIS COURT;"{""type"": ""Point"", ""coordinates"": [-76.49880618513416, 44.23329521811506]}";44.2332952181,-76.4988061851
